logged_at,candle_time,symbol,broker_gmt_offset,open,high,low,close,ma_20,ma_50,rsi_14,atr_14,adx_14,h1_trend,m5_trend,spread_points,candle_range,candle_body,bot_signal,bot_decision,bot_blockers,your_decision,your_reason,entry_price,stop_loss,take_profit,trade_result
2026-09-08 23:36:54,2026-09-08 19:15:00,XAUUSD,,4386.29,4395.5,4383.69,4393.97,4398.91,4403.64,34.26,10.87,,DOWNTREND,,26.0,11.81,7.68,HOLD,,,,,,,,
2026-09-09 21:52:42,2026-09-09 17:30:00,XAUUSD,,4425.94,4426.98,4418.6,4418.84,4406.32,4397.54,58.73,10.1,30.4,DOWNTREND,UPTREND,23.0,8.38,7.1,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-09 22:00:12,2026-09-09 17:45:00,XAUUSD,,4418.82,4423.52,4415.13,4418.67,4407.72,4398.46,58.59,9.97,30.54,DOWNTREND,UPTREND,23.0,8.39,0.15,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-09 22:15:13,2026-09-09 18:00:00,XAUUSD,,4418.71,4432.04,4380.24,4389.72,4407.65,4398.76,40.57,12.96,29.71,DOWNTREND,UPTREND,24.0,51.8,28.99,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-09 22:30:13,2026-09-09 18:15:00,XAUUSD,,4389.64,4395.28,4375.09,4394.54,4407.66,4399.02,43.67,13.48,29.27,DOWNTREND,UPTREND,37.0,20.19,4.9,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-09 22:45:13,2026-09-09 18:30:00,XAUUSD,,4394.56,4407.09,4392.53,4402.99,4408.07,4399.5,48.73,13.56,27.76,DOWNTREND,DOWNTREND,27.0,14.56,8.43,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-09 23:00:14,2026-09-09 18:45:00,XAUUSD,,4403.04,4407.12,4398.05,4398.32,4408.01,4399.9,46.26,13.23,26.35,DOWNTREND,DOWNTREND,33.0,9.07,4.72,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-09 23:15:14,2026-09-09 19:00:00,XAUUSD,,4398.47,4403.14,4394.88,4397.88,4407.73,4400.29,46.02,12.88,25.29,DOWNTREND,DOWNTREND,23.0,8.26,0.59,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-09 23:30:15,2026-09-09 19:15:00,XAUUSD,,4397.99,4402.44,4391.46,4401.62,4407.4,4400.82,48.44,12.74,24.57,DOWNTREND,DOWNTREND,34.0,10.98,3.63,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-10 00:45:24,2026-09-09 20:30:00,XAUUSD,,4414.76,4417.19,4411.78,4413.62,4410.44,4404.05,55.11,11.05,19.05,DOWNTREND,DOWNTREND,26.0,5.41,1.14,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
